STORETYPE,ADDRESS
W,"2301 W Wellesley Ave, Spokane, WA"
W,"9212 N Colton St, Spokane, WA"
W,"5025 E Sprague Ave, Spokane Valley, WA"
W,"1221 S Hayford Rd, Spokane, WA"
W,"15727 E Broadway Ave, Spokane Valley, WA"
T,"4915 S Regal St, Spokane, WA"
T,"9770 N Newport Hwy, Spokane, WA"
T,"13724 E Sprague Ave, Spokane, WA"
S,"933 E Mission Ave, Spokane, WA"
S,"1616 W Northwest Blvd, Spokane, WA"
S,"2509 E 29th Ave, Spokane, WA"
S,"2507 W Wellesley Ave, Spokane, WA"
S,"902 W Francis Ave, Spokane, WA"
S,"3919 N Market St, Spokane, WA"
S,"10100 N Newport Hwy, Spokane, WA"
Y,"210 E North Foothills Dr, Spokane, WA"
Y,"4235 Cheney Spokane Rd, Spokane, WA"
Y,"3321 W Indian Trail Rd, Spokane, WA"
Y,"9329 E Montgomery, Spokane Valley, WA"
Y,"13014 E Sprague Ave, Spokane Valley, WA"
R,"1808 W 3rd Ave, Spokane, WA"
R,"907 W 14th Ave, Spokane, WA"
R,"1724 W Francis Ave, Spokane, WA"
R,"2610 E 29th Eve, Spokane, WA"
R,"9414 N Division St, Spokane, WA"
R,"10618 E Sprague Ave, Spokane Valley, WA"
A,"6520 N Nevada St, Spokane, WA"
A,"3010 E 57th Ave, Spokane, WA"
A,"9001 N Indian Trail Rd, Spokane, WA"
A,"8851 E Trent Ave, Spokane Valley, WA"
A,"13606 E 32nd Ave, Spokane, WA"
G,"1617 W 3rd Ave, Spokane, WA"
G,"7810 N Division St, Spokane, WA"
G,"12115 E Sprague Ave, Spokane Valley, WA"
F,"400 S Thor St, Spokane, WA"
F,"12120 N Division St, Spokane, WA"
F,"15609 E Sprague Ave, Spokane Valley, WA"
